id,name,created_at,advertisers_entities.id,entities.short_name,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
d1a15fcc-cebd-4961-a521-e8e0248e95ee,Rīga.lv,2022-08-16T15:23:48.330Z,25a1f0e7-8c0d-4d9a-bb7f-c31658abc472,Sas,Latvia,lv,232235720264707,Rīga.lv,Facebook
31fa97f0-3c1a-4900-8898-f48fbff871da,Nils Ušakovs,2022-08-16T15:23:48.324Z,056964ad-71c7-403b-892a-7216db8b126b,Sas,Latvia,lv,212485185449074,Nils Ušakovs,Facebook
7ead6c63-de83-4864-acdb-bfa66629888e,SDP Saskaņa/СДП Согласие,2022-08-16T15:23:48.341Z,dc5758fb-09bc-4dc7-881b-be786df4ebfe,Sas,Latvia,lv,458756657627773,SDP Saskaņa/СДП Согласие,Facebook
92258aaa-a697-4ef4-bec8-c966938d693a,Jūlija Stepaņenko,2022-08-16T15:23:48.325Z,a417c261-5917-4ffa-8277-f13f8a547305,Sas,Latvia,lv,184436385298436,Jūlija Stepaņenko,Facebook
a6eeb574-8217-4666-b127-87f5ea75e83e,Restart.lv - SDP Saskaņa jaunatnes organizācija,2022-08-16T15:23:48.339Z,c0285eae-584b-4be7-829b-a29bbe696f08,Sas,Latvia,lv,340644969469957,Restart.lv - SDP Saskaņa jaunatnes organizācija,Facebook
d2200ce5-5e48-4c71-852a-a2abc2933062,Rigan Saskaņa Online,2022-08-16T15:23:48.341Z,8914cbe4-c82e-46bb-8866-c720fdd5e5a4,Sas,Latvia,lv,218411648316768,Rigan Saskaņa Online,Facebook
b2d36ab0-454e-490b-bd31-db50f2444619,Young European Socialists,2022-08-16T15:23:48.331Z,e27609d1-e547-4edb-b756-b4810da8e129,Sas,Latvia,lv,595794117124184,Young European Socialists,Facebook
30a64d95-6267-4e5f-91d6-e4adb461d71c,SDP Saskaņa/Jūrmala,2022-08-16T15:23:48.343Z,d5853c62-bb92-4c0c-9a8f-9bd876294ddb,Sas,Latvia,lv,770173259715443,SDP Saskaņa/Jūrmala,Facebook
a4352a23-909e-4e5e-95d4-768edd1a9ea1,Party of European Socialists,2022-08-16T15:23:48.333Z,9e2dfafc-7abb-4ac3-b5e3-a192553cfc3f,Sas,Latvia,lv,148097975226385,Party of European Socialists,Facebook
e4c50782-5cb6-4c26-8200-019a17c02bdc,Ригa.lv,2022-08-16T15:23:48.327Z,ce15fe97-3c48-4559-92e7-0778ba23bc53,Sas,Latvia,lv,1439145026412289,Ригa.lv,Facebook
258daa23-27d9-4ded-acbe-7271aeaed2f0,Saskaņa Ķekava,2022-08-16T15:23:48.751Z,6aa5f164-b193-4958-adf6-935492bb1729,Sas,Latvia,lv,991794634289439,Saskaņa Ķekava,Facebook
09760c34-339e-4351-ba83-1ed9d658c505,Saskaņa Krāslavas novadam,2022-08-16T15:23:48.751Z,7116c216-ea3e-4dcd-a2a1-e75d639b6df2,Sas,Latvia,lv,1456820174377771,Saskaņa Krāslavas novadam,Facebook
0be84687-cde9-4b23-8803-8f3ce30140d8,"SDP ""Saskaņa""/Liepāja",2022-08-16T15:23:48.752Z,59b2ce0a-06a6-4b3c-8709-9ed0793b97eb,Sas,Latvia,lv,409121685937589,"SDP ""Saskaņa""/Liepāja",Facebook
a8e97a6e-2cc3-46f6-aa43-7432969f6840,"SDP ""Saskaņa""/Jelgavas pilsētas un novada teritoriālā organizācija",2022-08-16T15:23:48.751Z,0a532656-b3b1-4fe3-a444-f79697f2c0ba,Sas,Latvia,lv,560252930758773,"SDP ""Saskaņa""/Jelgavas pilsētas un novada teritoriālā organizācija",Facebook
d2bcb15b-5d80-4a30-8b9b-2e66a5f13ccf,SaskanaVentspils,2022-08-16T15:23:48.752Z,4f41e9f8-5634-40a9-b34e-20b747043047,Sas,Latvia,lv,120872834737391,SaskanaVentspils,Facebook
1ca07168-ae34-459c-bef0-dbfdf94c3457,SDP Saskaņa Carnikavai,2022-08-16T15:23:48.754Z,3f2ce268-5129-49a7-a821-6ebb56fcec0c,Sas,Latvia,lv,147558892444842,SDP Saskaņa Carnikavai,Facebook
9eb9fbbd-52df-400d-82e8-7fe6830cf8da,"SDP ""Saskaņa""/Daugavpils novads",2022-08-16T15:23:48.775Z,00d09ed3-e9b7-4a04-be05-dfecdc123071,Sas,Latvia,lv,1673892362889250,"SDP ""Saskaņa""/Daugavpils novads",Facebook
